iter	Logloss
0	0.6914638196
1	0.6895223885
2	0.6882347552
3	0.6874576222
4	0.6855995123
5	0.6837563257
6	0.6828312472
7	0.6808730168
8	0.6795404508
9	0.6777860428
10	0.6764007469
11	0.6746621122
12	0.6722080561
13	0.6705217837
14	0.6685551281
15	0.6671256473
16	0.6651420398
17	0.66441482
18	0.6631637064
19	0.6623814638
20	0.6610268704
21	0.660192081
22	0.659439608
23	0.6582479671
24	0.6567647273
25	0.6551843785
26	0.6537274554
27	0.6516519619
28	0.6501898641
29	0.6479823111
30	0.6466639423
31	0.645303387
32	0.6446925549
33	0.6429605989
34	0.6412747517
35	0.6404146135
36	0.6394069814
37	0.6379659354
38	0.6369748654
39	0.6359413333
40	0.6353396547
41	0.6341246086
42	0.632530474
43	0.6307947653
44	0.6289927744
45	0.6273826905
46	0.6262322516
47	0.6249023288
48	0.6236331284
49	0.6222734416
50	0.6210066991
51	0.6199247118
52	0.6183532646
53	0.6175285587
54	0.615057868
55	0.6142476124
56	0.6133097124
57	0.6126928484
58	0.6116400525
59	0.6101935407
60	0.6089412512
61	0.6082272922
62	0.606810928
63	0.6047728769
64	0.6033180519
65	0.6018507122
66	0.6008761598
67	0.599472232
68	0.5983014645
69	0.5976893007
70	0.5966629126
71	0.595653446
72	0.5947026902
73	0.5932673173
74	0.5922131739
75	0.5913132757
76	0.5902531522
77	0.5893820494
78	0.5883077081
79	0.5876639369
80	0.5867095144
81	0.5855511518
82	0.5843879618
83	0.5837730836
84	0.583340578
85	0.5819299346
86	0.5810755685
87	0.5802868818
88	0.5791922471
89	0.5783564421
90	0.576663187
91	0.5756470031
92	0.5749120048
93	0.5738391844
94	0.5730780635
95	0.5718881398
96	0.5707471765
97	0.5693349847
98	0.5680450766
99	0.5669650507
100	0.5661096266
101	0.5659693441
102	0.5653728772
103	0.5641022918
104	0.5631946391
105	0.5624894415
106	0.5617288306
107	0.5608632891
108	0.5598490186
109	0.5588011691
110	0.5579028787
111	0.5569544285
112	0.5561898298
113	0.5555577914
114	0.5547509437
115	0.5539309139
116	0.552913644
117	0.5517313242
118	0.5505496259
119	0.5496984297
120	0.5483989278
121	0.5474275772
122	0.5461501124
123	0.5453421389
124	0.5446295026
125	0.5438011062
126	0.5431841068
127	0.5421063376
128	0.5415815692
129	0.5409585996
130	0.5400753707
131	0.539327957
132	0.538653968
133	0.538120511
134	0.5376179729
135	0.5373300841
136	0.5364858627
137	0.5357215075
138	0.5345996604
139	0.5338548945
140	0.5330779173
141	0.5326505127
142	0.5319268645
143	0.5314260044
144	0.5307114817
145	0.5291040692
146	0.5281109813
147	0.5273003872
148	0.5262424027
149	0.5257993151
150	0.5254029484
151	0.5244463105
152	0.5239221078
153	0.5226590453
154	0.5223012881
155	0.5217269129
156	0.521184405
157	0.5205007563
158	0.5198164134
159	0.519497281
160	0.5186749699
161	0.517567696
162	0.5168711707
163	0.5164147481
164	0.5159386533
165	0.5150645007
166	0.5141436072
167	0.5131181437
168	0.5122982165
169	0.5113153173
170	0.5110940859
171	0.5104601984
172	0.5092837252
173	0.508431216
174	0.5073928467
175	0.5065068082
176	0.5052505344
177	0.5044956034
178	0.5039580261
179	0.5033912451
180	0.502272791
181	0.501570711
182	0.5008135568
183	0.5000258915
184	0.4993415598
185	0.4989189079
186	0.4978910942
187	0.4968156018
188	0.4959935824
189	0.4943832982
190	0.4935216696
191	0.4930027903
192	0.4925321266
193	0.4922564151
194	0.4915807255
195	0.4907878909
196	0.4902897836
197	0.4896987536
198	0.4893079165
199	0.4887221313
200	0.488411231
201	0.4876629686
202	0.4871891088
203	0.4866959089
204	0.4863189465
205	0.4853973281
206	0.4848930675
207	0.4843318946
208	0.4835622252
209	0.4829944243
210	0.4822148423
211	0.4817425417
212	0.4812780735
213	0.4804003381
214	0.4795544503
215	0.4787565582
216	0.4782083693
217	0.4773872128
218	0.4766178816
219	0.4758067092
220	0.4749048594
221	0.4741164388
222	0.4736613187
223	0.4725378054
224	0.4722526938
225	0.4714345951
226	0.4707016296
227	0.4696154537
228	0.4693696598
229	0.4684190791
230	0.4675600644
231	0.466697412
232	0.4662141345
233	0.4652571539
234	0.4647984552
235	0.4641271363
236	0.4630879471
237	0.4622375825
238	0.4618788851
239	0.4609580661
240	0.4604093731
241	0.4601802471
242	0.4594837865
243	0.4587670698
244	0.4578174516
245	0.4570872542
246	0.4564807863
247	0.4560739153
248	0.4556149345
249	0.4550435919
250	0.454230958
251	0.4532108103
252	0.4522334447
253	0.4516005591
254	0.4510974269
255	0.4503117332
256	0.4494492017
257	0.4485587932
258	0.447986505
259	0.4472087532
260	0.4467414943
261	0.4460560235
262	0.4451718165
263	0.4447408298
264	0.4438509046
265	0.4428309776
266	0.4423460399
267	0.441800665
268	0.4413511168
269	0.4407725935
270	0.4404809175
271	0.4401078858
272	0.4394782438
273	0.4392384699
274	0.4387017897
275	0.4380838731
