iter	Passed	Remaining
0	0	1927
1	1	1727
2	2	1626
3	3	1705
4	4	1709
5	5	1683
6	5	1663
7	6	1644
8	7	1646
9	8	1643
10	9	1628
11	9	1614
12	10	1598
13	11	1597
14	11	1586
15	13	1635
16	14	1635
17	14	1637
18	15	1627
19	16	1620
20	17	1614
21	17	1613
22	18	1610
23	19	1601
24	20	1595
25	20	1587
26	21	1586
27	22	1581
28	23	1587
29	24	1581
30	24	1579
31	25	1580
32	26	1575
33	27	1573
34	28	1573
35	28	1580
36	29	1579
37	30	1587
38	31	1589
39	32	1590
40	33	1594
41	34	1593
42	34	1592
43	35	1590
44	36	1587
45	37	1582
46	38	1581
47	39	1586
48	39	1584
49	40	1581
50	41	1579
51	42	1578
52	42	1577
53	43	1578
54	45	1609
55	46	1605
56	47	1606
57	47	1604
58	48	1602
59	49	1601
60	50	1600
61	51	1620
62	52	1619
63	53	1618
64	54	1614
65	54	1610
66	55	1607
67	56	1603
68	57	1600
69	57	1598
70	58	1596
71	59	1594
72	60	1593
73	61	1591
74	61	1589
75	62	1587
76	63	1585
77	64	1583
78	65	1581
79	65	1580
80	66	1578
81	67	1576
82	68	1575
83	68	1573
84	69	1572
85	70	1573
86	71	1573
87	72	1571
88	73	1568
89	73	1565
90	74	1562
91	75	1560
92	76	1559
93	76	1560
94	77	1558
95	78	1559
96	79	1557
97	80	1555
98	81	1557
99	81	1554
100	82	1557
101	83	1556
102	84	1554
103	85	1551
104	85	1549
105	86	1547
106	87	1545
107	88	1542
108	88	1542
109	89	1541
110	90	1541
111	91	1539
112	92	1537
113	92	1536
114	93	1533
115	94	1531
116	94	1528
117	95	1527
118	96	1525
119	97	1523
120	98	1522
121	98	1520
122	99	1519
123	100	1517
124	101	1516
125	101	1516
126	102	1514
127	103	1515
128	104	1514
129	105	1512
130	105	1510
131	106	1510
132	107	1509
133	108	1508
134	109	1506
135	109	1505
136	110	1503
137	111	1503
138	112	1502
139	113	1501
140	113	1499
141	114	1499
142	115	1498
143	116	1497
144	116	1495
145	117	1492
146	118	1492
147	119	1492
148	120	1490
149	120	1490
150	121	1488
151	122	1487
152	123	1485
153	123	1484
154	124	1484
155	125	1482
156	126	1480
157	126	1478
158	127	1476
159	128	1474
160	129	1474
161	129	1473
162	130	1472
163	131	1470
164	132	1468
165	132	1467
166	133	1467
167	134	1466
168	135	1465
169	136	1464
170	136	1463
171	137	1461
172	138	1460
173	138	1458
174	139	1457
175	140	1457
176	141	1456
177	142	1454
178	142	1453
179	143	1451
180	144	1450
181	145	1449
182	145	1447
183	146	1445
184	147	1443
185	147	1442
186	148	1440
187	149	1438
188	150	1438
189	151	1438
190	151	1437
191	152	1435
192	153	1434
193	153	1433
194	154	1431
195	155	1429
196	156	1427
197	156	1427
198	157	1427
199	158	1426
200	159	1426
201	160	1425
202	160	1424
203	161	1423
204	162	1422
205	163	1421
206	163	1420
207	164	1418
208	165	1417
209	166	1417
210	167	1416
211	167	1414
212	168	1413
213	169	1412
214	169	1411
215	170	1409
216	171	1408
217	172	1407
218	172	1406
219	173	1405
220	174	1404
221	175	1402
222	175	1401
223	176	1399
224	177	1398
225	177	1396
226	178	1395
227	179	1394
228	180	1393
229	181	1395
230	182	1394
231	182	1393
232	183	1393
233	184	1392
234	185	1392
235	186	1392
236	187	1391
237	187	1391
238	188	1391
239	189	1391
240	190	1390
241	191	1390
242	192	1390
243	193	1392
244	194	1393
245	195	1393
246	196	1393
247	197	1392
248	198	1392
249	198	1392
250	199	1391
251	200	1390
252	201	1389
253	202	1389
254	203	1393
255	204	1393
256	205	1392
257	205	1390
258	206	1389
259	207	1388
260	208	1388
261	209	1387
262	209	1386
263	210	1385
264	211	1384
265	212	1383
266	213	1383
267	213	1382
268	214	1381
269	215	1380
270	216	1379
271	216	1378
272	217	1377
273	218	1376
274	219	1376
275	220	1375
276	220	1374
277	221	1373
278	222	1372
279	223	1371
280	224	1370
281	224	1369
282	225	1368
283	226	1368
284	227	1368
285	228	1368
286	229	1367
287	229	1366
288	230	1365
289	231	1364
290	232	1364
291	232	1362
292	233	1362
293	234	1361
294	236	1364
295	236	1363
296	237	1362
297	238	1361
298	239	1360
299	239	1359
300	240	1358
301	241	1357
302	242	1356
