Model,Parameters,test_acc,train_acc,test_bal_acc,train_bal_acc,test_f1_macro,train_f1_macro,test_f1_weighted,train_f1_weighted,test_prec_macro,train_prec_macro,test_rec_macro,train_rec_macro,test_specificity_weighted,train_specificity_weighted,test_g_mean,train_g_mean
LogisticRegression,3 Classes / Normal / No Scaler / Unbalanced,0.4340,0.5271,0.4007,0.4963,0.3870,0.4944,0.4138,0.5139,0.3927,0.5184,0.4007,0.4963,0.6823,0.7298,0.5224,0.6018
LogisticRegression,3 Classes / Normal / StandardScaler / Unbalanced,0.4313,0.5282,0.3959,0.4963,0.3807,0.4937,0.4098,0.5141,0.3839,0.5192,0.3959,0.4963,0.6806,0.7298,0.5186,0.6017
LogisticRegression,3 Classes / Normal / MinMaxScaler / Unbalanced,0.4299,0.5312,0.3894,0.4939,0.3673,0.4876,0.3995,0.5109,0.3665,0.5315,0.3894,0.4939,0.6720,0.7255,0.5113,0.5986
LogisticRegression,3 Classes / Feature Engineering / No Scaler / Unbalanced,0.4340,0.5271,0.4007,0.4963,0.3870,0.4944,0.4138,0.5139,0.3927,0.5184,0.4007,0.4963,0.6823,0.7298,0.5224,0.6018
LogisticRegression,3 Classes / Feature Engineering / StandardScaler / Unbalanced,0.4313,0.5282,0.3959,0.4963,0.3807,0.4937,0.4098,0.5141,0.3839,0.5192,0.3959,0.4963,0.6806,0.7298,0.5186,0.6017
LogisticRegression,3 Classes / Feature Engineering / MinMaxScaler / Unbalanced,0.4299,0.5312,0.3894,0.4939,0.3673,0.4876,0.3995,0.5109,0.3665,0.5315,0.3894,0.4939,0.6720,0.7255,0.5113,0.5986
LogisticRegression,2 Classes IS vs W / Normal / No Scaler / Unbalanced,0.6456,0.7009,0.5731,0.6334,0.5706,0.6376,0.6218,0.6809,0.5981,0.6753,0.5731,0.6334,0.5006,0.5659,0.5356,0.5987
LogisticRegression,2 Classes IS vs W / Normal / No Scaler / SMOTE,0.6016,0.6672,0.5877,0.6602,0.5812,0.6513,0.6069,0.6726,0.5836,0.6501,0.5877,0.6602,0.5737,0.6532,0.5806,0.6567
LogisticRegression,2 Classes IS vs W / Normal / No Scaler / RandomOverSampler,0.6195,0.6648,0.6049,0.6603,0.5983,0.6501,0.6239,0.6706,0.6007,0.6494,0.6049,0.6603,0.5904,0.6557,0.5976,0.6580
LogisticRegression,2 Classes IS vs W / Normal / StandardScaler / Unbalanced,0.6415,0.6981,0.5682,0.6300,0.5645,0.6337,0.6166,0.6776,0.5908,0.6716,0.5682,0.6300,0.4949,0.5618,0.5302,0.5949
